dialogue_id,locale,line_index,speaker_role,text,category,usage_scope,enabled,full_text,source_id,source_text
hello_world_test,en,0,speaker,hello world..!?,test,test,true,hello world..!?,,
phrase_skill_0001,en,0,speaker,That's your cue!,tv_specific,context_only,false,That's your cue!,tv.skill.L0001,That's your cue!
phrase_skill_0001,th,0,speaker,ถึงคิวแล้ว!,tv_specific,context_only,false,ถึงคิวแล้ว!,tv.skill.L0001,That's your cue!
phrase_skill_0002,en,0,speaker,"Testing, one, two, three...",tv_specific,context_only,false,"Testing, one, two, three...",tv.skill.L0002,"Testing, one, two, three..."
phrase_skill_0002,th,0,speaker,ทดสอบไมค์...,tv_specific,context_only,false,ทดสอบ หนึ่ง สอง สาม...,tv.skill.L0002,"Testing, one, two, three..."
phrase_skill_0003,en,0,speaker,"Star wipe out, and go to commercial!",tv_specific,context_only,false,"Star wipe out, and go to commercial!",tv.skill.L0003,"Star wipe out, and go to commercial!"
phrase_skill_0003,th,0,speaker,เข้าโฆษณาเลย!,tv_specific,context_only,false,ใช้เอฟเฟกต์ดาวเปลี่ยนฉาก แล้วเข้าโฆษณาเลย!,tv.skill.L0003,"Star wipe out, and go to commercial!"
phrase_skill_0004,en,0,speaker,"Finally, I can see what I'm doing.",tv_specific,context_only,false,"Finally, I can see what I'm doing.",tv.skill.L0004,"Finally, I can see what I'm doing."
phrase_skill_0004,th,0,speaker,มองเห็นแล้ว!,tv_specific,context_only,false,ในที่สุดก็มองเห็นเสียทีว่ากำลังทำอะไรอยู่,tv.skill.L0004,"Finally, I can see what I'm doing."
phrase_skill_0005,en,0,speaker,Looking good!,tv_specific,context_only,false,Looking good!,tv.skill.L0005,Looking good!
phrase_skill_0005,th,0,speaker,ดูดีเลย!,tv_specific,context_only,false,ดูดีเลย!,tv.skill.L0005,Looking good!
phrase_skill_0006,en,0,speaker,Autocue ready!,tv_specific,context_only,false,Autocue ready!,tv.skill.L0006,Autocue ready!
phrase_skill_0006,th,0,speaker,พร้อมบอกบท!,tv_specific,context_only,false,เครื่องบอกบทพร้อมแล้ว!,tv.skill.L0006,Autocue ready!
phrase_skill_0007,en,0,speaker,Cut! Do it again!,tv_specific,context_only,false,Cut! Do it again!,tv.skill.L0007,Cut! Do it again!
phrase_skill_0007,th,0,speaker,คัต! เอาใหม่!,tv_specific,context_only,false,คัต! เอาใหม่อีกที!,tv.skill.L0007,Cut! Do it again!
phrase_skill_0008,en,0,speaker,There's nothing ADR can't fix... Right?,tv_specific,context_only,false,There's nothing ADR can't fix... Right?,tv.skill.L0008,There's nothing ADR can't fix... Right?
phrase_skill_0008,th,0,speaker,พากย์ทับก็ได้?,tv_specific,context_only,false,ไม่มีอะไรที่การพากย์เสียงทับแก้ไม่ได้... ใช่ไหม?,tv.skill.L0008,There's nothing ADR can't fix... Right?
phrase_text_0312,en,0,speaker,"The <0> genre, huh?",tv_specific,template,false,"The <0> genre, huh?",tv.text.L0312,"The <0> genre, huh?"
phrase_text_0312,th,0,speaker,แนว <0> งั้นเหรอ?,tv_specific,template,false,แนว <0> งั้นเหรอ?,tv.text.L0312,"The <0> genre, huh?"
phrase_text_0313,en,0,speaker,"It's about <0>, so...",tv_specific,template,false,"It's about <0>, so...",tv.text.L0313,"It's about <0>, so..."
