mode,body_dst_x,body_dst_y,body_src_x,body_src_y,body_w,body_h,face_dst_x,face_dst_y,face_src_x,face_src_y,face_w,face_h,extra_12,extra_13,special_split_body
0,0,14,0,0,16,16,1,1,48,0,16,15,1,28,False
1,0,14,0,0,16,5,1,1,48,0,16,15,1,28,True
2,0,14,16,0,16,16,1,2,48,0,16,15,1,28,False
3,0,14,32,0,16,16,1,2,48,0,16,15,1,28,False
4,0,13,0,16,16,17,1,1,16,0,16,15,1,28,False
5,0,13,0,16,16,6,1,1,16,0,16,15,1,28,True
6,0,13,16,16,16,17,1,2,16,0,16,15,1,28,False
7,0,13,32,16,16,17,1,2,16,0,16,15,1,28,False
8,0,13,0,33,16,17,-1,1,0,0,16,15,1,28,False
9,0,13,0,33,16,6,-1,1,0,0,16,15,1,28,True
10,0,13,16,33,16,17,-1,2,0,0,16,15,1,28,False
11,0,13,32,33,16,17,-1,2,0,0,16,15,1,28,False
12,0,14,0,50,16,16,-1,1,32,0,16,15,1,28,False
13,0,14,0,50,16,5,-1,1,32,0,16,15,1,28,True
14,0,14,16,50,16,16,-1,2,32,0,16,15,1,28,False
15,0,14,32,50,16,16,-1,2,32,0,16,15,1,28,False
16,0,10,48,0,17,20,0,1,32,15,16,15,2,29,False
17,0,10,48,0,17,20,0,1,64,15,16,15,2,29,False
18,1,10,65,0,16,20,0,3,48,15,16,15,2,29,False
19,-1,6,81,0,20,21,0,-1,64,15,16,15,2,29,False
20,1,12,65,20,16,13,1,0,16,0,16,15,0,0,False
21,1,12,65,33,16,13,1,0,16,0,16,15,0,0,False
22,1,12,65,20,16,13,-2,0,0,0,16,15,0,0,False
23,1,12,65,20,16,13,1,0,48,0,16,15,0,0,False
24,-3,4,82,21,20,21,0,0,0,15,16,15,0,0,False
25,0,12,48,51,17,15,2,0,32,0,16,15,0,0,False
26,0,13,65,46,17,13,2,0,32,0,16,15,0,0,False
27,0,12,48,51,17,15,2,0,0,0,16,15,0,0,False
28,0,12,48,51,17,15,5,0,48,0,16,15,0,0,False
29,-1,5,82,42,20,24,2,0,16,15,16,15,0,0,False
30,-1,11,48,20,17,18,0,0,0,0,16,15,0,0,False
31,1,13,48,38,17,13,0,0,48,0,16,15,0,0,False
32,-1,11,48,20,17,18,0,0,32,0,16,15,0,0,False
33,-1,11,48,20,17,18,3,0,16,0,16,15,0,0,False
34,0,14,0,0,16,16,-2,1,32,0,16,15,1,28,False
35,0,14,0,0,16,16,1,1,16,0,16,15,1,28,False
36,0,13,0,16,16,17,1,1,48,0,16,15,1,28,False
37,0,13,0,16,16,17,-2,1,0,0,16,15,1,28,False
38,0,13,0,33,16,17,2,1,16,0,16,15,1,28,False
39,0,13,0,33,16,17,-1,1,32,0,16,15,1,28,False
40,0,14,0,50,16,16,-1,1,0,0,16,15,1,28,False
41,0,14,0,50,16,16,2,1,48,0,16,15,1,28,False
